,Time,Value,Series
0,2019-07-15 00:00:00,3.3,predicted
1,2019-07-15 00:01:00,3.49,predicted
2,2019-07-15 00:02:00,2.48,predicted
3,2019-07-15 00:03:00,3.46,predicted
4,2019-07-15 00:04:00,2.11,predicted
5,2019-07-15 00:05:00,2.31,predicted
6,2019-07-15 00:06:00,2.24,predicted
7,2019-07-15 00:07:00,4.57,predicted
8,2019-07-15 00:08:00,5.54,predicted
9,2019-07-15 00:09:00,3.13,predicted
10,2019-07-15 00:10:00,3.37,predicted
11,2019-07-15 00:11:00,3.1,predicted
12,2019-07-15 00:12:00,3.26,predicted
13,2019-07-15 00:13:00,4.84,predicted
14,2019-07-15 00:14:00,2.78,predicted
15,2019-07-15 00:15:00,4.51,predicted
16,2019-07-15 00:16:00,2.73,predicted
17,2019-07-15 00:17:00,5.42,predicted
18,2019-07-15 00:18:00,4.12,predicted
19,2019-07-15 00:19:00,3.68,predicted
20,2019-07-15 00:20:00,2.18,predicted
21,2019-07-15 00:21:00,4.94,predicted
22,2019-07-15 00:22:00,2.05,predicted
23,2019-07-15 00:23:00,2.29,predicted
24,2019-07-15 00:24:00,2.21,predicted
25,2019-07-15 00:25:00,4.43,predicted
26,2019-07-15 00:26:00,5.16,predicted
27,2019-07-15 00:27:00,3.01,predicted
28,2019-07-15 00:28:00,4.91,predicted
29,2019-07-15 00:29:00,5.54,predicted
30,2019-07-15 00:30:00,2.25,predicted
31,2019-07-15 00:31:00,3.85,predicted
32,2019-07-15 00:32:00,3.75,predicted
33,2019-07-15 00:33:00,3.37,predicted
34,2019-07-15 00:34:00,4.64,predicted
35,2019-07-15 00:35:00,4.51,predicted
36,2019-07-15 00:36:00,5.46,predicted
37,2019-07-15 00:37:00,5.49,predicted
38,2019-07-15 00:38:00,3.46,predicted
39,2019-07-15 00:39:00,3.23,predicted
40,2019-07-15 00:40:00,5.7,predicted
41,2019-07-15 00:41:00,5.15,predicted
42,2019-07-15 00:42:00,3.58,predicted
43,2019-07-15 00:43:00,4.41,predicted
44,2019-07-15 00:44:00,2.04,predicted
45,2019-07-15 00:45:00,3.65,predicted
46,2019-07-15 00:46:00,5.83,predicted
47,2019-07-15 00:47:00,4.8,predicted
48,2019-07-15 00:48:00,5.78,predicted
49,2019-07-15 00:49:00,4.77,predicted
50,2019-07-15 00:50:00,5.58,predicted
51,2019-07-15 00:51:00,3.6,predicted
52,2019-07-15 00:52:00,4.61,predicted
53,2019-07-15 00:53:00,3.31,predicted
54,2019-07-15 00:54:00,4.03,predicted
55,2019-07-15 00:55:00,3.13,predicted
56,2019-07-15 00:56:00,3.28,predicted
57,2019-07-15 00:57:00,4.19,predicted
58,2019-07-15 00:58:00,2.34,predicted
59,2019-07-15 00:59:00,5.44,predicted
60,2019-07-15 01:00:00,5.53,predicted
61,2019-07-15 01:01:00,2.31,predicted
62,2019-07-15 01:02:00,4.11,predicted
63,2019-07-15 01:03:00,3.78,predicted
64,2019-07-15 01:04:00,2.68,predicted
65,2019-07-15 01:05:00,5.69,predicted
66,2019-07-15 01:06:00,2.87,predicted
67,2019-07-15 01:07:00,3.88,predicted
68,2019-07-15 01:08:00,4.28,predicted
69,2019-07-15 01:09:00,5.73,predicted
70,2019-07-15 01:10:00,4.62,predicted
71,2019-07-15 01:11:00,5.73,predicted
72,2019-07-15 01:12:00,2.7,predicted
73,2019-07-15 01:13:00,3.08,predicted
74,2019-07-15 01:14:00,3.3,predicted
75,2019-07-15 01:15:00,5.44,predicted
76,2019-07-15 01:16:00,5.65,predicted
77,2019-07-15 01:17:00,4.67,predicted
78,2019-07-15 01:18:00,3.29,predicted
79,2019-07-15 01:19:00,5.19,predicted
80,2019-07-15 01:20:00,4.38,predicted
81,2019-07-15 01:21:00,4.38,predicted
82,2019-07-15 01:22:00,5.4,predicted
83,2019-07-15 01:23:00,5.41,predicted
84,2019-07-15 01:24:00,5.4,predicted
85,2019-07-15 01:25:00,4.43,predicted
86,2019-07-15 01:26:00,3.69,predicted
87,2019-07-15 01:27:00,2.2,predicted
88,2019-07-15 01:28:00,3.41,predicted
89,2019-07-15 01:29:00,5.37,predicted
90,2019-07-15 01:30:00,4.88,predicted
91,2019-07-15 01:31:00,4.06,predicted
92,2019-07-15 01:32:00,4.04,predicted
93,2019-07-15 01:33:00,2.21,predicted
94,2019-07-15 01:34:00,2.31,predicted
95,2019-07-15 01:35:00,2.39,predicted
96,2019-07-15 01:36:00,5.18,predicted
97,2019-07-15 01:37:00,3.23,predicted
98,2019-07-15 01:38:00,5.19,predicted
99,2019-07-15 01:39:00,3.32,predicted
100,2019-07-15 01:40:00,5.88,predicted
101,2019-07-15 01:41:00,5.51,predicted
102,2019-07-15 01:42:00,5.54,predicted
103,2019-07-15 01:43:00,4.99,predicted
104,2019-07-15 01:44:00,3.43,predicted
105,2019-07-15 01:45:00,3.31,predicted
106,2019-07-15 01:46:00,3.68,predicted
107,2019-07-15 01:47:00,5.6,predicted
108,2019-07-15 01:48:00,3.32,predicted
109,2019-07-15 01:49:00,3.32,predicted
110,2019-07-15 01:50:00,4.79,predicted
111,2019-07-15 01:51:00,4.25,predicted
112,2019-07-15 01:52:00,2.6,predicted
113,2019-07-15 01:53:00,3.12,predicted
114,2019-07-15 01:54:00,3.82,predicted
115,2019-07-15 01:55:00,3.73,predicted
116,2019-07-15 01:56:00,2.73,predicted
117,2019-07-15 01:57:00,5.61,predicted
118,2019-07-15 01:58:00,3.55,predicted
119,2019-07-15 01:59:00,3.7,predicted
120,2019-07-15 02:00:00,2.57,predicted
121,2019-07-15 02:01:00,2.02,predicted
122,2019-07-15 02:02:00,5.74,predicted
123,2019-07-15 02:03:00,5.45,predicted
124,2019-07-15 02:04:00,4.67,predicted
125,2019-07-15 02:05:00,5.31,predicted
126,2019-07-15 02:06:00,2.74,predicted
127,2019-07-15 02:07:00,4.08,predicted
128,2019-07-15 02:08:00,4.08,predicted
129,2019-07-15 02:09:00,2.45,predicted
130,2019-07-15 02:10:00,5.47,predicted
131,2019-07-15 02:11:00,3.08,predicted
132,2019-07-15 02:12:00,2.98,predicted
133,2019-07-15 02:13:00,5.16,predicted
134,2019-07-15 02:14:00,3.5,predicted
135,2019-07-15 02:15:00,3.54,predicted
136,2019-07-15 02:16:00,5.57,predicted
137,2019-07-15 02:17:00,5.22,predicted
138,2019-07-15 02:18:00,3.95,predicted
139,2019-07-15 02:19:00,3.69,predicted
140,2019-07-15 02:20:00,5.13,predicted
141,2019-07-15 02:21:00,2.29,predicted
142,2019-07-15 02:22:00,3.68,predicted
143,2019-07-15 02:23:00,4.43,predicted
144,2019-07-15 02:24:00,4.12,predicted
145,2019-07-15 02:25:00,2.11,predicted
146,2019-07-15 02:26:00,4.72,predicted
147,2019-07-15 02:27:00,5.62,predicted
148,2019-07-15 02:28:00,2.08,predicted
149,2019-07-15 02:29:00,3.87,predicted
150,2019-07-15 02:30:00,3.83,predicted
151,2019-07-15 02:31:00,5.31,predicted
152,2019-07-15 02:32:00,5.84,predicted
153,2019-07-15 02:33:00,4.99,predicted
154,2019-07-15 02:34:00,5.09,predicted
155,2019-07-15 02:35:00,2.57,predicted
156,2019-07-15 02:36:00,5.85,predicted
157,2019-07-15 02:37:00,4.25,predicted
158,2019-07-15 02:38:00,4.08,predicted
159,2019-07-15 02:39:00,5.67,predicted
160,2019-07-15 02:40:00,2.67,predicted
161,2019-07-15 02:41:00,2.64,predicted
162,2019-07-15 02:42:00,3.42,predicted
163,2019-07-15 02:43:00,4.18,predicted
164,2019-07-15 02:44:00,4.36,predicted
165,2019-07-15 02:45:00,3.39,predicted
166,2019-07-15 02:46:00,4.63,predicted
167,2019-07-15 02:47:00,5.87,predicted
168,2019-07-15 02:48:00,4.53,predicted
169,2019-07-15 02:49:00,3.93,predicted
170,2019-07-15 02:50:00,5.92,predicted
171,2019-07-15 02:51:00,2.13,predicted
172,2019-07-15 02:52:00,2.08,predicted
173,2019-07-15 02:53:00,4.65,predicted
174,2019-07-15 02:54:00,5.97,predicted
175,2019-07-15 02:55:00,2.83,predicted
176,2019-07-15 02:56:00,2.86,predicted
177,2019-07-15 02:57:00,4.13,predicted
178,2019-07-15 02:58:00,4.44,predicted
179,2019-07-15 02:59:00,4.0,predicted
180,2019-07-15 03:00:00,2.17,predicted
181,2019-07-15 03:01:00,4.52,predicted
182,2019-07-15 03:02:00,3.81,predicted
183,2019-07-15 03:03:00,4.53,predicted
184,2019-07-15 03:04:00,2.89,predicted
185,2019-07-15 03:05:00,4.42,predicted
186,2019-07-15 03:06:00,2.32,predicted
187,2019-07-15 03:07:00,5.35,predicted
188,2019-07-15 03:08:00,5.02,predicted
189,2019-07-15 03:09:00,3.71,predicted
190,2019-07-15 03:10:00,4.55,predicted
191,2019-07-15 03:11:00,3.47,predicted
192,2019-07-15 03:12:00,4.02,predicted
193,2019-07-15 03:13:00,5.06,predicted
194,2019-07-15 03:14:00,4.01,predicted
195,2019-07-15 03:15:00,4.66,predicted
196,2019-07-15 03:16:00,2.05,predicted
197,2019-07-15 03:17:00,5.2,predicted
198,2019-07-15 03:18:00,4.24,predicted
199,2019-07-15 03:19:00,4.85,predicted
200,2019-07-15 03:20:00,4.84,predicted
201,2019-07-15 03:21:00,4.29,predicted
202,2019-07-15 03:22:00,2.43,predicted
203,2019-07-15 03:23:00,3.06,predicted
204,2019-07-15 03:24:00,4.48,predicted
205,2019-07-15 03:25:00,4.91,predicted
206,2019-07-15 03:26:00,3.63,predicted
207,2019-07-15 03:27:00,3.7,predicted
208,2019-07-15 03:28:00,5.5,predicted
209,2019-07-15 03:29:00,2.52,predicted
210,2019-07-15 03:30:00,4.92,predicted
211,2019-07-15 03:31:00,4.27,predicted
212,2019-07-15 03:32:00,3.88,predicted
213,2019-07-15 03:33:00,4.95,predicted
214,2019-07-15 03:34:00,2.61,predicted
215,2019-07-15 03:35:00,2.75,predicted
216,2019-07-15 03:36:00,2.18,predicted
217,2019-07-15 03:37:00,5.82,predicted
218,2019-07-15 03:38:00,3.65,predicted
219,2019-07-15 03:39:00,2.86,predicted
220,2019-07-15 03:40:00,5.14,predicted
221,2019-07-15 03:41:00,4.89,predicted
222,2019-07-15 03:42:00,4.02,predicted
223,2019-07-15 03:43:00,2.0,predicted
224,2019-07-15 03:44:00,3.97,predicted
225,2019-07-15 03:45:00,5.37,predicted
226,2019-07-15 03:46:00,5.63,predicted
227,2019-07-15 03:47:00,2.46,predicted
228,2019-07-15 03:48:00,4.81,predicted
229,2019-07-15 03:49:00,5.7,predicted
230,2019-07-15 03:50:00,4.09,predicted
231,2019-07-15 03:51:00,2.61,predicted
232,2019-07-15 03:52:00,5.83,predicted
233,2019-07-15 03:53:00,2.15,predicted
234,2019-07-15 03:54:00,5.64,predicted
235,2019-07-15 03:55:00,2.11,predicted
236,2019-07-15 03:56:00,3.92,predicted
237,2019-07-15 03:57:00,2.27,predicted
238,2019-07-15 03:58:00,3.79,predicted
239,2019-07-15 03:59:00,2.54,predicted
240,2019-07-15 04:00:00,3.32,predicted
241,2019-07-15 04:01:00,4.48,predicted
242,2019-07-15 04:02:00,3.11,predicted
243,2019-07-15 04:03:00,5.85,predicted
244,2019-07-15 04:04:00,4.47,predicted
245,2019-07-15 04:05:00,3.64,predicted
246,2019-07-15 04:06:00,5.88,predicted
247,2019-07-15 04:07:00,2.95,predicted
248,2019-07-15 04:08:00,5.02,predicted
249,2019-07-15 04:09:00,3.36,predicted
250,2019-07-15 04:10:00,5.71,predicted
251,2019-07-15 04:11:00,2.47,predicted
252,2019-07-15 04:12:00,5.34,predicted
253,2019-07-15 04:13:00,2.11,predicted
254,2019-07-15 04:14:00,4.14,predicted
255,2019-07-15 04:15:00,4.76,predicted
256,2019-07-15 04:16:00,5.78,predicted
257,2019-07-15 04:17:00,4.29,predicted
258,2019-07-15 04:18:00,2.47,predicted
259,2019-07-15 04:19:00,2.74,predicted
260,2019-07-15 04:20:00,4.68,predicted
261,2019-07-15 04:21:00,3.17,predicted
262,2019-07-15 04:22:00,4.81,predicted
263,2019-07-15 04:23:00,4.07,predicted
264,2019-07-15 04:24:00,4.61,predicted
265,2019-07-15 04:25:00,3.61,predicted
266,2019-07-15 04:26:00,4.41,predicted
267,2019-07-15 04:27:00,3.35,predicted
268,2019-07-15 04:28:00,5.1,predicted
269,2019-07-15 04:29:00,4.92,predicted
270,2019-07-15 04:30:00,5.03,predicted
271,2019-07-15 04:31:00,2.92,predicted
272,2019-07-15 04:32:00,5.73,predicted
273,2019-07-15 04:33:00,3.11,predicted
274,2019-07-15 04:34:00,4.94,predicted
275,2019-07-15 04:35:00,4.57,predicted
276,2019-07-15 04:36:00,2.54,predicted
277,2019-07-15 04:37:00,2.92,predicted
278,2019-07-15 04:38:00,5.73,predicted
279,2019-07-15 04:39:00,3.62,predicted
280,2019-07-15 04:40:00,2.49,predicted
281,2019-07-15 04:41:00,3.0,predicted
282,2019-07-15 04:42:00,3.83,predicted
283,2019-07-15 04:43:00,5.64,predicted
284,2019-07-15 04:44:00,4.41,predicted
285,2019-07-15 04:45:00,2.53,predicted
286,2019-07-15 04:46:00,5.4,predicted
287,2019-07-15 04:47:00,5.33,predicted
288,2019-07-15 04:48:00,4.83,predicted
289,2019-07-15 04:49:00,4.45,predicted
290,2019-07-15 04:50:00,3.35,predicted
291,2019-07-15 04:51:00,5.04,predicted
292,2019-07-15 04:52:00,2.23,predicted
293,2019-07-15 04:53:00,5.73,predicted
294,2019-07-15 04:54:00,4.82,predicted
295,2019-07-15 04:55:00,2.58,predicted
296,2019-07-15 04:56:00,4.41,predicted
297,2019-07-15 04:57:00,2.0,predicted
298,2019-07-15 04:58:00,3.17,predicted
299,2019-07-15 04:59:00,2.61,predicted
300,2019-07-15 05:00:00,4.62,predicted
301,2019-07-15 05:01:00,5.61,predicted
302,2019-07-15 05:02:00,2.42,predicted
303,2019-07-15 05:03:00,5.2,predicted
304,2019-07-15 05:04:00,5.45,predicted
305,2019-07-15 05:05:00,2.89,predicted
306,2019-07-15 05:06:00,4.75,predicted
307,2019-07-15 05:07:00,4.27,predicted
308,2019-07-15 05:08:00,4.63,predicted
309,2019-07-15 05:09:00,3.18,predicted
310,2019-07-15 05:10:00,2.17,predicted
311,2019-07-15 05:11:00,3.82,predicted
312,2019-07-15 05:12:00,2.15,predicted
313,2019-07-15 05:13:00,4.97,predicted
314,2019-07-15 05:14:00,3.36,predicted
315,2019-07-15 05:15:00,3.98,predicted
316,2019-07-15 05:16:00,5.96,predicted
317,2019-07-15 05:17:00,2.8,predicted
318,2019-07-15 05:18:00,4.94,predicted
319,2019-07-15 05:19:00,5.96,predicted
320,2019-07-15 05:20:00,5.85,predicted
321,2019-07-15 05:21:00,4.55,predicted
322,2019-07-15 05:22:00,4.03,predicted
323,2019-07-15 05:23:00,3.17,predicted
324,2019-07-15 05:24:00,2.34,predicted
325,2019-07-15 05:25:00,5.41,predicted
326,2019-07-15 05:26:00,2.83,predicted
327,2019-07-15 05:27:00,3.17,predicted
328,2019-07-15 05:28:00,2.79,predicted
329,2019-07-15 05:29:00,4.73,predicted
330,2019-07-15 05:30:00,2.99,predicted
331,2019-07-15 05:31:00,4.95,predicted
332,2019-07-15 05:32:00,2.11,predicted
333,2019-07-15 05:33:00,3.25,predicted
334,2019-07-15 05:34:00,4.66,predicted
335,2019-07-15 05:35:00,5.11,predicted
336,2019-07-15 05:36:00,2.54,predicted
337,2019-07-15 05:37:00,5.06,predicted
338,2019-07-15 05:38:00,3.42,predicted
339,2019-07-15 05:39:00,5.75,predicted
340,2019-07-15 05:40:00,4.28,predicted
341,2019-07-15 05:41:00,5.93,predicted
342,2019-07-15 05:42:00,3.2,predicted
343,2019-07-15 05:43:00,2.35,predicted
344,2019-07-15 05:44:00,2.82,predicted
345,2019-07-15 05:45:00,4.01,predicted
346,2019-07-15 05:46:00,2.36,predicted
347,2019-07-15 05:47:00,4.26,predicted
348,2019-07-15 05:48:00,2.74,predicted
349,2019-07-15 05:49:00,2.22,predicted
350,2019-07-15 05:50:00,5.4,predicted
351,2019-07-15 05:51:00,4.46,predicted
352,2019-07-15 05:52:00,2.96,predicted
353,2019-07-15 05:53:00,3.57,predicted
354,2019-07-15 05:54:00,5.97,predicted
355,2019-07-15 05:55:00,5.84,predicted
356,2019-07-15 05:56:00,2.69,predicted
357,2019-07-15 05:57:00,5.16,predicted
358,2019-07-15 05:58:00,2.95,predicted
359,2019-07-15 05:59:00,2.7,predicted
360,2019-07-15 06:00:00,14.61,predicted
361,2019-07-15 06:01:00,14.83,predicted
362,2019-07-15 06:02:00,16.35,predicted
363,2019-07-15 06:03:00,15.77,predicted
364,2019-07-15 06:04:00,17.22,predicted
365,2019-07-15 06:05:00,17.4,predicted
366,2019-07-15 06:06:00,17.64,predicted
367,2019-07-15 06:07:00,18.25,predicted
368,2019-07-15 06:08:00,18.6,predicted
369,2019-07-15 06:09:00,19.36,predicted
370,2019-07-15 06:10:00,18.64,predicted
371,2019-07-15 06:11:00,18.21,predicted
372,2019-07-15 06:12:00,16.67,predicted
373,2019-07-15 06:13:00,17.93,predicted
374,2019-07-15 06:14:00,17.93,predicted
375,2019-07-15 06:15:00,18.07,predicted
376,2019-07-15 06:16:00,17.68,predicted
377,2019-07-15 06:17:00,17.67,predicted
378,2019-07-15 06:18:00,16.44,predicted
379,2019-07-15 06:19:00,16.02,predicted
380,2019-07-15 06:20:00,17.4,predicted
381,2019-07-15 06:21:00,18.74,predicted
382,2019-07-15 06:22:00,18.92,predicted
383,2019-07-15 06:23:00,18.89,predicted
384,2019-07-15 06:24:00,18.19,predicted
385,2019-07-15 06:25:00,18.23,predicted
386,2019-07-15 06:26:00,17.85,predicted
387,2019-07-15 06:27:00,19.42,predicted
388,2019-07-15 06:28:00,21.06,predicted
389,2019-07-15 06:29:00,22.79,predicted
390,2019-07-15 06:30:00,23.4,predicted
391,2019-07-15 06:31:00,25.23,predicted
392,2019-07-15 06:32:00,24.68,predicted
393,2019-07-15 06:33:00,23.66,predicted
394,2019-07-15 06:34:00,22.52,predicted
395,2019-07-15 06:35:00,21.08,predicted
396,2019-07-15 06:36:00,21.41,predicted
397,2019-07-15 06:37:00,21.77,predicted
398,2019-07-15 06:38:00,23.03,predicted
399,2019-07-15 06:39:00,23.66,predicted
400,2019-07-15 06:40:00,23.84,predicted
401,2019-07-15 06:41:00,23.11,predicted
402,2019-07-15 06:42:00,22.49,predicted
403,2019-07-15 06:43:00,22.82,predicted
404,2019-07-15 06:44:00,22.56,predicted
405,2019-07-15 06:45:00,24.18,predicted
406,2019-07-15 06:46:00,23.57,predicted
407,2019-07-15 06:47:00,23.81,predicted
408,2019-07-15 06:48:00,22.26,predicted
409,2019-07-15 06:49:00,23.85,predicted
410,2019-07-15 06:50:00,23.85,predicted
411,2019-07-15 06:51:00,25.68,predicted
412,2019-07-15 06:52:00,25.8,predicted
413,2019-07-15 06:53:00,27.54,predicted
414,2019-07-15 06:54:00,26.77,predicted
415,2019-07-15 06:55:00,26.38,predicted
416,2019-07-15 06:56:00,25.98,predicted
417,2019-07-15 06:57:00,26.68,predicted
418,2019-07-15 06:58:00,27.68,predicted
419,2019-07-15 06:59:00,27.66,predicted
420,2019-07-15 07:00:00,27.66,predicted
421,2019-07-15 07:01:00,28.23,predicted
422,2019-07-15 07:02:00,31.37,predicted
423,2019-07-15 07:03:00,29.05,predicted
424,2019-07-15 07:04:00,30.06,predicted
425,2019-07-15 07:05:00,31.91,predicted
426,2019-07-15 07:06:00,30.57,predicted
427,2019-07-15 07:07:00,26.92,predicted
428,2019-07-15 07:08:00,29.66,predicted
429,2019-07-15 07:09:00,30.28,predicted
430,2019-07-15 07:10:00,26.64,predicted
431,2019-07-15 07:11:00,26.82,predicted
432,2019-07-15 07:12:00,28.73,predicted
433,2019-07-15 07:13:00,27.55,predicted
434,2019-07-15 07:14:00,25.33,predicted
435,2019-07-15 07:15:00,28.32,predicted
436,2019-07-15 07:16:00,26.5,predicted
437,2019-07-15 07:17:00,26.02,predicted
438,2019-07-15 07:18:00,26.29,predicted
439,2019-07-15 07:19:00,28.29,predicted
440,2019-07-15 07:20:00,27.59,predicted
441,2019-07-15 07:21:00,31.38,predicted
442,2019-07-15 07:22:00,32.62,predicted
443,2019-07-15 07:23:00,32.53,predicted
444,2019-07-15 07:24:00,31.59,predicted
445,2019-07-15 07:25:00,33.89,predicted
446,2019-07-15 07:26:00,32.53,predicted
447,2019-07-15 07:27:00,31.3,predicted
448,2019-07-15 07:28:00,33.73,predicted
449,2019-07-15 07:29:00,33.7,predicted
450,2019-07-15 07:30:00,31.7,predicted
451,2019-07-15 07:31:00,31.92,predicted
452,2019-07-15 07:32:00,31.7,predicted
453,2019-07-15 07:33:00,27.83,predicted
454,2019-07-15 07:34:00,28.26,predicted
455,2019-07-15 07:35:00,29.67,predicted
456,2019-07-15 07:36:00,31.16,predicted
457,2019-07-15 07:37:00,29.64,predicted
458,2019-07-15 07:38:00,29.91,predicted
459,2019-07-15 07:39:00,31.46,predicted
460,2019-07-15 07:40:00,30.47,predicted
461,2019-07-15 07:41:00,27.97,predicted
462,2019-07-15 07:42:00,30.56,predicted
463,2019-07-15 07:43:00,33.4,predicted
464,2019-07-15 07:44:00,31.03,predicted
465,2019-07-15 07:45:00,32.94,predicted
466,2019-07-15 07:46:00,33.11,predicted
467,2019-07-15 07:47:00,32.89,predicted
468,2019-07-15 07:48:00,32.22,predicted
469,2019-07-15 07:49:00,32.57,predicted
470,2019-07-15 07:50:00,29.07,predicted
471,2019-07-15 07:51:00,29.67,predicted
472,2019-07-15 07:52:00,30.09,predicted
473,2019-07-15 07:53:00,30.47,predicted
474,2019-07-15 07:54:00,32.88,predicted
475,2019-07-15 07:55:00,36.81,predicted
476,2019-07-15 07:56:00,38.77,predicted
477,2019-07-15 07:57:00,37.55,predicted
478,2019-07-15 07:58:00,37.91,predicted
479,2019-07-15 07:59:00,39.6,predicted
480,2019-07-15 08:00:00,39.04,predicted
481,2019-07-15 08:01:00,36.66,predicted
482,2019-07-15 08:02:00,39.22,predicted
483,2019-07-15 08:03:00,37.95,predicted
484,2019-07-15 08:04:00,35.27,predicted
485,2019-07-15 08:05:00,35.91,predicted
486,2019-07-15 08:06:00,41.06,predicted
487,2019-07-15 08:07:00,39.35,predicted
488,2019-07-15 08:08:00,40.7,predicted
489,2019-07-15 08:09:00,42.52,predicted
490,2019-07-15 08:10:00,41.29,predicted
